timestamp,fruit_id,scan_no,nm410,nm435,nm460,nm485,nm510,nm535,nm560,nm585,nm610,nm645,nm680,nm705,nm730,nm760,nm810,nm860,nm900,nm940,label,diameter_cm,rotasi_buah,jarak_cm,ratio_810_680,ratio_730_680,ratio_860_810,red_edge_slope,ndvi_like
"2026-08-28T17:17:38,226",BOSOK_001,1,13.270913,27.977537,67.877808,0.0,20.981565,18.801203,12.874997,15.067293,18.493925,10.517442,17.224232,13.763176,36.777821,40.583858,47.838131,48.666527,21.402477,20.706106,anomali,7.0,a,3,2.777372205987352,2.135235965681393,1.0173164337635947,0.39107178000000004,0.47053154670519
"2026-08-28T17:18:12,040",BOSOK_001,2,14.929777,26.112368,59.393078,37.472702,18.087557,17.408522,11.844997,13.058321,17.338055,13.462325,25.329754,13.763176,39.907848,43.965843,50.230038,52.142708,20.790979,21.606373,anomali,7.0,b,3,1.9830440583654865,1.5755317736083132,1.0380780046238458,0.29156188,0.3295440610074653
"2026-08-28T17:18:47,392",BOSOK_001,3,16.588642,34.50563,77.305275,0.0,25.32258,20.890226,15.449996,18.080751,19.649796,12.200233,27.356134,17.099705,46.167904,51.575317,61.392269,62.571247,26.905972,25.207434,anomali,7.0,c,3,2.244185766824447,1.687661243485193,1.019203848093015,0.3762354,0.38351260433242906
"2026-08-28T17:19:56,925",BOSOK_001,4,11.612049,21.449446,51.851101,0.0,18.81106,16.712181,13.389997,16.071779,18.493925,12.62093,21.276993,17.099705,44.60289,47.347832,50.230038,56.777615,23.848475,23.406904,anomali,7.5,d,3,2.3607665985665367,2.0962957048039144,1.1303515975139022,0.46651794,0.4048978197825302
"2026-08-28T17:20:23,663",BOSOK_001,5,12.441481,16.786522,61.278576,40.214607,17.364056,14.623158,13.904997,17.578508,19.649796,13.883022,25.329754,15.43144,38.342834,43.120346,55.013851,56.777615,24.459974,22.506638,anomali,7.0,e,3,2.1719053916175453,1.5137461999251158,1.032060174798493,0.26026160000000004,0.36946429408236114
"2026-08-28T17:20:53,790",BOSOK_001,6,9.953185,15.853938,54.679344,0.0,16.640553,13.230476,14.934997,18.582994,18.493925,14.30372,17.224232,15.014374,35.212807,38.892864,50.230038,52.142708,22.625477,20.706106,anomali,7.5,f,3,2.9162408424126878,2.044374840994454,1.0380780046238458,0.35977149999999997,0.4893063271893198
"2026-08-28T17:21:14,761",BOSOK_001,7,12.441481,25.179783,66.935059,0.0,21.705069,19.497543,14.934997,19.587481,20.805666,13.462325,27.356134,16.682638,43.037876,46.502335,57.405758,59.095066,24.459974,23.406904,anomali,8.0,g,3,2.098459417379876,1.573243509757808,1.0294273216586878,0.3136348399999999,0.3545180475067678
"2026-08-28T17:21:53,009",BOSOK_001,8,36.49501,69.94384,100.873962,0.0,31.110598,26.460953,12.359997,14.56505,20.805666,12.200233,27.356134,15.014374,47.732918,50.72982,55.013851,55.618889,25.071474,27.908232,anomali,7.5,h,3,2.01102359309119,1.7448701103488853,1.0109977374611099,0.40753567999999996,0.3357741735931877
"2026-08-28T17:25:36,579",BOSOK_002,9,16.588642,43.831474,86.73275,55.752068,28.940092,26.460953,19.054995,22.098696,26.585018,16.827906,34.448463,20.019165,50.080437,50.72982,59.000362,55.618889,26.294474,25.207434,anomali,8.0,a,3,1.712713419837216,1.4537781398902647,0.9426870901763127,0.31263948000000014,0.26273092650111696
"2026-08-28T17:25:53,852",BOSOK_002,10,44.789333,87.662949,118.786156,0.0,38.345619,32.031681,14.419996,17.578508,25.429148,15.565813,35.461655,18.350903,56.340492,56.6483,61.392269,60.253796,25.682974,27.007965,anomali,8.0,b,3,1.7312291738134684,1.588771762408787,0.9814555996528488,0.41757673999999995,0.26772907334873974
"2026-08-28T17:26:53,412",BOSOK_002,11,24.882961,59.685413,91.446487,0.0,31.834101,29.246317,15.964996,18.080751,28.896757,14.724418,28.369324,17.933836,55.557983,54.957306,59.797665,56.777615,25.071474,26.1077,anomali,8.0,c,3,2.107827592991785,1.9583816454767673,0.9494953608146135,0.5437731800000001,0.3564637716658588
"2026-08-28T17:27:15,689",BOSOK_002,12,155.933228,185.584335,190.434952,0.0,61.497692,43.869473,17.509996,22.098696,39.299591,19.772791,41.540794,22.938627,88.423271,76.940231,72.554497,62.571247,34.243965,56.716728,anomali,8.0,d,3,1.7465838407942225,2.1285883393109097,0.8624033101072549,0.93764954,0.27182278961690104
