excel_row,fruit_id,label,rotasi,scan_no,kanal_pemicu,nilai,ambang_batas
138,BOSOK_018,anomali,a,137,nm610,339.825867,52.014168
142,BOSOK_018,anomali,e,141,nm610,230.018188,52.014168
146,BOSOK_019,anomali,a,145,nm610,56.637646,52.014168
196,AMAN_003,normal,c,187,nm610,72.819832,52.014168
204,AMAN_004,normal,c,195,nm610,55.481777,52.014168
277,AMAN_013,normal,f,268,nm610,61.261127,52.014168
302,AMAN_016,normal,g,293,nm610,55.481777,52.014168
303,AMAN_016,normal,h,294,nm610,175.692291,52.014168
226,AMAN_007,normal,a,217,nm680,58.76503,55.725461
259,AMAN_011,normal,d,250,nm680,56.738647,55.725461
207,AMAN_004,normal,f,198,nm730,147.893784,138.50369799999999
115,BOSOK_015,anomali,b,114,nm810,163.446945,153.08201100000002
118,BOSOK_015,anomali,e,117,nm810,153.082016,153.08201100000002
121,BOSOK_015,anomali,h,120,nm810,161.055038,153.08201100000002
