model,channel,importance_mean,importance_std
LogisticRegression,nm610,0.005317153623996481,0.0053799354538579995
LogisticRegression,nm680,0.07278561015048772,0.014740966919856564
LogisticRegression,nm730,0.013934326186637213,0.008390887731819901
LogisticRegression,nm760,0.0023342722483075933,0.003997592827944974
LogisticRegression,nm810,0.036851201965966446,0.01291891046011915
LogisticRegression,nm860,0.14056320705916858,0.021772241683417796
RandomForest,nm610,0.04251530106990991,0.008295298867475862
RandomForest,nm680,0.1447164834410795,0.010981526076665757
RandomForest,nm730,0.13607290775912242,0.012195320001845927
RandomForest,nm760,0.11050918886315518,0.010556533512542087
RandomForest,nm810,0.13483473023349285,0.013806584510433964
RandomForest,nm860,0.09717864892310492,0.011754251176546543
SVM,nm610,0.06197281919025852,0.011963025159899
SVM,nm680,0.12376536308214726,0.012576595558398268
SVM,nm730,0.3112120842369463,0.01962154145264471
SVM,nm760,0.1756961976523067,0.01731783743870396
SVM,nm810,0.18234478536057785,0.010203772681920038
SVM,nm860,0.13915010961905022,0.014991967977599639
