fold,n_train,n_test,accuracy,precision,recall,f1,roc_auc,dataset
1,246,64,0.765625,0.8048780487804879,0.825,0.8148148148148148,0.7947916666666667,29082026
2,246,64,0.890625,0.8666666666666667,0.975,0.9176470588235294,0.965625,29082026
3,246,64,0.90625,0.9642857142857143,0.84375,0.9,0.98779296875,29082026
4,248,62,0.8064516129032258,0.7380952380952381,0.96875,0.8378378378378378,0.9776041666666666,29082026
5,254,56,0.8392857142857143,1.0,0.71875,0.8363636363636363,0.97265625,29082026
1,415,103,0.8737864077669902,0.8461538461538461,0.825,0.8354430379746836,0.9267857142857143,08092026_clean
2,414,104,0.7884615384615384,0.8863636363636364,0.6964285714285714,0.78,0.8286830357142858,08092026_clean
3,414,104,0.875,0.8307692307692308,0.9642857142857143,0.8925619834710744,0.9614955357142857,08092026_clean
4,414,104,0.8557692307692307,0.8837209302325582,0.7916666666666666,0.8351648351648352,0.9319196428571429,08092026_clean
5,415,103,0.7572815533980582,0.7674418604651163,0.6875,0.7252747252747253,0.8678030303030303,08092026_clean
