channel,mean_normal,mean_anomali,p_value,signifikan,cohens_d
nm410,24.23,38.67,0.004420045999417649,Ya,-0.67
nm435,33.23,56.95,0.012397154809073444,Ya,-1.07
nm460,80.63,91.92,0.18710796785889933,Tidak,-0.34
nm485,5.2,15.77,0.07314679379290001,Tidak,-0.65
nm510,28.12,35.59,0.0007254673629608859,Ya,-0.95
nm535,24.96,29.46,0.043274081914199514,Ya,-0.41
nm560,23.3,29.26,0.12435486255191211,Tidak,-0.34
nm585,25.51,43.73,0.013115091150328244,Ya,-1.09
nm610,27.83,42.69,0.0009177373825362222,Ya,-1.65
nm645,18.8,40.44,0.011448095790716279,Ya,-1.19
nm680,49.23,62.18,0.32292330865491586,Tidak,-0.13
nm705,23.49,33.73,0.00034974985345236314,Ya,-0.55
nm730,59.88,82.02,0.0008375511869082417,Ya,-0.95
nm760,71.8,95.91,0.01363538597720441,Ya,-0.39
nm810,83.4,111.02,4.522677786400416e-05,Ya,-0.69
nm860,95.93,142.16,0.024562454256982013,Ya,-0.72
nm900,31.64,50.87,9.372960150064567e-07,Ya,-2.1
nm940,33.95,57.34,0.0004898693681570373,Ya,-1.29
